BORONG~ELAR~1~BOR01~ELAR~BITING
BORONG~ELAR~2~BOR01~ELAR~GISING
BORONG~ELAR~3~BOR01~ELAR~GOLO LEBO
BORONG~ELAR~4~BOR01~ELAR~GOLO LIJUN
BORONG~ELAR~5~BOR01~ELAR~GOLO LINUS
BORONG~ELAR~6~BOR01~ELAR~GOLO MUNDE
BORONG~ELAR~7~BOR01~ELAR~GOLO WUAS
BORONG~ELAR~8~BOR01~ELAR~HAJU NGENDONG
BORONG~ELAR~9~BOR01~ELAR~LANGGASAI
BORONG~ELAR~10~BOR01~ELAR~LEGUR LAI
BORONG~ELAR~11~BOR01~ELAR~LEMPANG PAJI
BORONG~ELAR~12~BOR01~ELAR~LENGKO NAMUT
BORONG~ELAR~13~BOR01~ELAR~NANGA MEJE
BORONG~ELAR~14~BOR01~ELAR~PAAN WARU
BORONG~ELAR~15~BOR01~ELAR~RANA GAPANG
BORONG~ELAR~16~BOR01~ELAR~RANA KULAN
BORONG~ELAR~17~BOR01~ELAR~SANGAN KALO
BORONG~ELAR~18~BOR01~ELAR~SIPI
BORONG~ELAR~19~BOR01~ELAR~SISIR
BORONG~ELAR~20~BOR01~ELAR~TENO MESE
BORONG~ELAR~21~BOR01~ELAR~TIWU KONDO
BORONG~KOTA KOMBA~1~BOR01~KOTA KOMBA~BAMO
BORONG~KOTA KOMBA~2~BOR01~KOTA KOMBA~GOLO NDERU
BORONG~KOTA KOMBA~3~BOR01~KOTA KOMBA~GOLO TOLANG
BORONG~KOTA KOMBA~4~BOR01~KOTA KOMBA~GOLOMENI
BORONG~KOTA KOMBA~5~BOR01~KOTA KOMBA~GUNUNG MUTE
BORONG~KOTA KOMBA~6~BOR01~KOTA KOMBA~KOMBA
BORONG~KOTA KOMBA~7~BOR01~KOTA KOMBA~LEMBUR
BORONG~KOTA KOMBA~8~BOR01~KOTA KOMBA~MBENGAN
BORONG~KOTA KOMBA~9~BOR01~KOTA KOMBA~MOKEL
BORONG~KOTA KOMBA~10~BOR01~KOTA KOMBA~PAAN LELENG
BORONG~KOTA KOMBA~11~BOR01~KOTA KOMBA~PONG RUAN
BORONG~KOTA KOMBA~12~BOR01~KOTA KOMBA~RANA KOLONG
BORONG~KOTA KOMBA~13~BOR01~KOTA KOMBA~RANA MBELING
BORONG~KOTA KOMBA~14~BOR01~KOTA KOMBA~RONGGA KOE
BORONG~KOTA KOMBA~15~BOR01~KOTA KOMBA~RUAN
BORONG~KOTA KOMBA~16~BOR01~KOTA KOMBA~TANAH RATA
BORONG~KOTA KOMBA~17~BOR01~KOTA KOMBA~WATU NGGENE
BORONG~LAMBA LEDA~1~BOR01~LAMBA LEDA~COMPANG DERU
BORONG~LAMBA LEDA~2~BOR01~LAMBA LEDA~COMPANG MEKAR
BORONG~LAMBA LEDA~3~BOR01~LAMBA LEDA~COMPANG NECAK
BORONG~LAMBA LEDA~4~BOR01~LAMBA LEDA~GOLO LEMBUR
BORONG~LAMBA LEDA~5~BOR01~LAMBA LEDA~GOLO MANGUNG
BORONG~LAMBA LEDA~6~BOR01~LAMBA LEDA~GOLO MUNGA
BORONG~LAMBA LEDA~7~BOR01~LAMBA LEDA~GOLO NIMBUNG
BORONG~LAMBA LEDA~8~BOR01~LAMBA LEDA~GOLO RENTUNG
BORONG~LAMBA LEDA~9~BOR01~LAMBA LEDA~GORENG MENI
BORONG~LAMBA LEDA~10~BOR01~LAMBA LEDA~LENCUR
BORONG~LAMBA LEDA~11~BOR01~LAMBA LEDA~LIANG DERUK
BORONG~LAMBA LEDA~12~BOR01~LAMBA LEDA~NAMPAR TABANG
BORONG~LAMBA LEDA~13~BOR01~LAMBA LEDA~SATAR PADUT
BORONG~LAMBA LEDA~14~BOR01~LAMBA LEDA~SATAR PUNDA
BORONG~LAMBA LEDA~15~BOR01~LAMBA LEDA~TENGKU LEDA
BORONG~LAMBA LEDA~16~BOR01~LAMBA LEDA~TENGKULAWAR
BORONG~MANGGARAI TIMUR~1~BOR01~MANGGARAI TIMUR~BEA NGENCUNG
BORONG~MANGGARAI TIMUR~2~BOR01~MANGGARAI TIMUR~BENTENG RAJA
BORONG~MANGGARAI TIMUR~3~BOR01~MANGGARAI TIMUR~BENTENG RIWU
BORONG~MANGGARAI TIMUR~4~BOR01~MANGGARAI TIMUR~GOLO KANTAR
BORONG~MANGGARAI TIMUR~5~BOR01~MANGGARAI TIMUR~GOLO LALONG
BORONG~MANGGARAI TIMUR~6~BOR01~MANGGARAI TIMUR~GOLO LONI
BORONG~MANGGARAI TIMUR~7~BOR01~MANGGARAI TIMUR~GOLO MELENG
BORONG~MANGGARAI TIMUR~8~BOR01~MANGGARAI TIMUR~GOLO ROS
BORONG~MANGGARAI TIMUR~9~BOR01~MANGGARAI TIMUR~GOLO RUTUK
BORONG~MANGGARAI TIMUR~10~BOR01~MANGGARAI TIMUR~GURUNG LIWUT
BORONG~MANGGARAI TIMUR~11~BOR01~MANGGARAI TIMUR~NDORA
BORONG~MANGGARAI TIMUR~12~BOR01~MANGGARAI TIMUR~NANGA LABANG
BORONG~MANGGARAI TIMUR~13~BOR01~MANGGARAI TIMUR~NGAMPANG MAS
BORONG~MANGGARAI TIMUR~14~BOR01~MANGGARAI TIMUR~POCO RII
BORONG~MANGGARAI TIMUR~15~BOR01~MANGGARAI TIMUR~RANA LOBA
BORONG~MANGGARAI TIMUR~16~BOR01~MANGGARAI TIMUR~RANA MASAK
BORONG~MANGGARAI TIMUR~17~BOR01~MANGGARAI TIMUR~RONDO WOING
BORONG~MANGGARAI TIMUR~18~BOR01~MANGGARAI TIMUR~SANO LOKOM
BORONG~MANGGARAI TIMUR~19~BOR01~MANGGARAI TIMUR~SATAR LAHING
BORONG~MANGGARAI TIMUR~20~BOR01~MANGGARAI TIMUR~SITA
BORONG~MANGGARAI TIMUR~21~BOR01~MANGGARAI TIMUR~TOROK GOLO
BORONG~POCO RANAKA~1~BOR01~POCO RANAKA~ARUS
BORONG~POCO RANAKA~2~BOR01~POCO RANAKA~BANGKA KULENG
BORONG~POCO RANAKA~3~BOR01~POCO RANAKA~BANGKA PAU
BORONG~POCO RANAKA~4~BOR01~POCO RANAKA~BEA WAEK
BORONG~POCO RANAKA~5~BOR01~POCO RANAKA~BENTENG RAMPAS
BORONG~POCO RANAKA~6~BOR01~POCO RANAKA~COMPANG LAHO
BORONG~POCO RANAKA~7~BOR01~POCO RANAKA~COMPANG WUNIS
