KAPUAS HULU~BADAU~1~PSU01~BADAU~BADAU
KAPUAS HULU~BADAU~2~PSU01~BADAU~JANTING
KAPUAS HULU~BADAU~3~PSU01~BADAU~KEKURAK
KAPUAS HULU~BADAU~4~PSU01~BADAU~PULAU MAJANG
KAPUAS HULU~BADAU~5~PSU01~BADAU~SEMUNTIK
KAPUAS HULU~BADAU~6~PSU01~BADAU~SERIANG
KAPUAS HULU~BATANG LUPAR~1~PSU01~BATANG LUPAR~LABIAN
KAPUAS HULU~BATANG LUPAR~2~PSU01~BATANG LUPAR~LABIAN IRA'ANG
KAPUAS HULU~BATANG LUPAR~3~PSU01~BATANG LUPAR~LANJAK DERAS
KAPUAS HULU~BATANG LUPAR~4~PSU01~BATANG LUPAR~MELEMBA
KAPUAS HULU~BATANG LUPAR~5~PSU01~BATANG LUPAR~MENSIAU
KAPUAS HULU~BATANG LUPAR~6~PSU01~BATANG LUPAR~SEI/SUNGAI ABAU
KAPUAS HULU~BATANG LUPAR~7~PSU01~BATANG LUPAR~SEI/SUNGAI AJUNG
KAPUAS HULU~BATANG LUPAR~8~PSU01~BATANG LUPAR~SEPANDAN
KAPUAS HULU~BATANG LUPAR~9~PSU01~BATANG LUPAR~SETULANG
KAPUAS HULU~BATANG LUPAR~10~PSU01~BATANG LUPAR~SUNGAI SENUNUK
KAPUAS HULU~BATU DATU~1~PSU01~BATU DATU~BUAK LIMBANG
KAPUAS HULU~BATU DATU~2~PSU01~BATU DATU~HULU PENGKADAN
KAPUAS HULU~BATU DATU~3~PSU01~BATU DATU~KERANGAN PANJANG
KAPUAS HULU~BATU DATU~4~PSU01~BATU DATU~MARTADANA
KAPUAS HULU~BATU DATU~5~PSU01~BATU DATU~MAWAN
KAPUAS HULU~BATU DATU~6~PSU01~BATU DATU~PENGKADAN HILIR
KAPUAS HULU~BATU DATU~7~PSU01~BATU DATU~PERMATA PERDA
KAPUAS HULU~BATU DATU~8~PSU01~BATU DATU~PINANG LAKA
KAPUAS HULU~BATU DATU~9~PSU01~BATU DATU~RIAM PANJANG
KAPUAS HULU~BATU DATU~10~PSU01~BATU DATU~SASAN
KAPUAS HULU~BIKA~1~PSU01~BIKA~BIKA
KAPUAS HULU~BIKA~2~PSU01~BIKA~JELEMUK
KAPUAS HULU~BIKA~3~PSU01~BIKA~KENSURAI
KAPUAS HULU~BIKA~4~PSU01~BIKA~TELUK SINDUR
KAPUAS HULU~BOYAN TANJUNG~1~PSU01~BOYAN TANJUNG~BOYAN TANJUNG
KAPUAS HULU~BOYAN TANJUNG~2~PSU01~BOYAN TANJUNG~DELINTAS KARYA
KAPUAS HULU~BOYAN TANJUNG~3~PSU01~BOYAN TANJUNG~KARYA MAJU
KAPUAS HULU~BOYAN TANJUNG~4~PSU01~BOYAN TANJUNG~LANDAU MENTAIL
KAPUAS HULU~BOYAN TANJUNG~5~PSU01~BOYAN TANJUNG~MUJAN
KAPUAS HULU~BOYAN TANJUNG~6~PSU01~BOYAN TANJUNG~NANGA BETUNG
KAPUAS HULU~BOYAN TANJUNG~7~PSU01~BOYAN TANJUNG~NANGA BOYAN
KAPUAS HULU~BOYAN TANJUNG~8~PSU01~BOYAN TANJUNG~NANGA DANAU
KAPUAS HULU~BOYAN TANJUNG~9~PSU01~BOYAN TANJUNG~NANGA JEMAH
KAPUAS HULU~BOYAN TANJUNG~10~PSU01~BOYAN TANJUNG~NANGA RET
KAPUAS HULU~BOYAN TANJUNG~11~PSU01~BOYAN TANJUNG~NANGA SANGAN
KAPUAS HULU~BOYAN TANJUNG~12~PSU01~BOYAN TANJUNG~PEMAWAN
KAPUAS HULU~BOYAN TANJUNG~13~PSU01~BOYAN TANJUNG~RIAM MENGELAI
KAPUAS HULU~BOYAN TANJUNG~14~PSU01~BOYAN TANJUNG~SRI WANGI
KAPUAS HULU~BOYAN TANJUNG~15~PSU01~BOYAN TANJUNG~TELUK GERUGUK
KAPUAS HULU~BOYAN TANJUNG~16~PSU01~BOYAN TANJUNG~TUBANG JAYA
KAPUAS HULU~BUNUT HILIR~1~PSU01~BUNUT HILIR~BUNUT HILIR
KAPUAS HULU~BUNUT HILIR~2~PSU01~BUNUT HILIR~BUNUT HULU
KAPUAS HULU~BUNUT HILIR~3~PSU01~BUNUT HILIR~BUNUT TENGAH
KAPUAS HULU~BUNUT HILIR~4~PSU01~BUNUT HILIR~EMPANGAU
KAPUAS HULU~BUNUT HILIR~5~PSU01~BUNUT HILIR~EMPANGAU HILIR
KAPUAS HULU~BUNUT HILIR~6~PSU01~BUNUT HILIR~ENTIBAB
KAPUAS HULU~BUNUT HILIR~7~PSU01~BUNUT HILIR~KAPUAS RAYA
KAPUAS HULU~BUNUT HILIR~8~PSU01~BUNUT HILIR~NANGA TUAN
KAPUAS HULU~BUNUT HILIR~9~PSU01~BUNUT HILIR~TELUK AUR
KAPUAS HULU~BUNUT HILIR~10~PSU01~BUNUT HILIR~TEMBANG
KAPUAS HULU~BUNUT HILIR~11~PSU01~BUNUT HILIR~UJUNG PANDANG
KAPUAS HULU~BUNUT HULU~1~PSU01~BUNUT HULU~BAKONG PERMAI
KAPUAS HULU~BUNUT HULU~2~PSU01~BUNUT HULU~BATU TIGA
KAPUAS HULU~BUNUT HULU~3~PSU01~BUNUT HULU~BERINGIN
KAPUAS HULU~BUNUT HULU~4~PSU01~BUNUT HULU~NANGA DUA
KAPUAS HULU~BUNUT HULU~5~PSU01~BUNUT HULU~NANGA KELIBANG
KAPUAS HULU~BUNUT HULU~6~PSU01~BUNUT HULU~NANGA PAYANG
KAPUAS HULU~BUNUT HULU~7~PSU01~BUNUT HULU~NANGA SEMANGUT
KAPUAS HULU~BUNUT HULU~8~PSU01~BUNUT HULU~NANGA SURUK
KAPUAS HULU~BUNUT HULU~9~PSU01~BUNUT HULU~PANTAS BERSATU
KAPUAS HULU~BUNUT HULU~10~PSU01~BUNUT HULU~RIAM PIYANG
KAPUAS HULU~BUNUT HULU~11~PSU01~BUNUT HULU~SEGITAK
KAPUAS HULU~BUNUT HULU~12~PSU01~BUNUT HULU~SELAUP
KAPUAS HULU~BUNUT HULU~13~PSU01~BUNUT HULU~SEMANGUT UTARA
KAPUAS HULU~BUNUT HULU~14~PSU01~BUNUT HULU~SUNGAI BESAR
KAPUAS HULU~BUNUT HULU~15~PSU01~BUNUT HULU~TEMUYUK
KAPUAS HULU~BUNUT HULU~16~PSU01~BUNUT HULU~BUNUT HULU
KAPUAS HULU~EMBALOH HILIR~1~PSU01~EMBALOH HILIR~BELATUNG
KAPUAS HULU~EMBALOH HILIR~2~PSU01~EMBALOH HILIR~KELILING SEMULUNG
KAPUAS HULU~EMBALOH HILIR~3~PSU01~EMBALOH HILIR~KIRIN NANGKA
KAPUAS HULU~EMBALOH HILIR~4~PSU01~EMBALOH HILIR~LAWIK
KAPUAS HULU~EMBALOH HILIR~5~PSU01~EMBALOH HILIR~NANGA EMBALOH
KAPUAS HULU~EMBALOH HILIR~6~PSU01~EMBALOH HILIR~NANGA LAUK
KAPUAS HULU~EMBALOH HILIR~7~PSU01~EMBALOH HILIR~NANGA PALIN
KAPUAS HULU~EMBALOH HILIR~8~PSU01~EMBALOH HILIR~PALA PINTAS
KAPUAS HULU~EMBALOH HILIR~9~PSU01~EMBALOH HILIR~UJUNG BAYUR
KAPUAS HULU~EMBALOH HULU~1~PSU01~EMBALOH HULU~BANUA MARTINUS
KAPUAS HULU~EMBALOH HULU~2~PSU01~EMBALOH HULU~BANUA UJUNG
KAPUAS HULU~EMBALOH HULU~3~PSU01~EMBALOH HULU~BATU LINTANG
KAPUAS HULU~EMBALOH HULU~4~PSU01~EMBALOH HULU~LANGAN BARU
KAPUAS HULU~EMBALOH HULU~5~PSU01~EMBALOH HULU~MENUA SADAP
KAPUAS HULU~EMBALOH HULU~6~PSU01~EMBALOH HULU~PULAU MANAK
KAPUAS HULU~EMBALOH HULU~7~PSU01~EMBALOH HULU~RANTAU PRAPAT
KAPUAS HULU~EMBALOH HULU~8~PSU01~EMBALOH HULU~SAUJUNG GILING MANIK
KAPUAS HULU~EMBALOH HULU~9~PSU01~EMBALOH HULU~TAMAO
KAPUAS HULU~EMBALOH HULU~10~PSU01~EMBALOH HULU~ULAK PAUK
KAPUAS HULU~EMBAU~1~PSU01~EMBAU~BHAKTI KARYA
KAPUAS HULU~EMBAU~2~PSU01~EMBAU~KARYA BARU
KAPUAS HULU~EMBAU~3~PSU01~EMBAU~TAMAN BHAKTI
KAPUAS HULU~EMPANANG~1~PSU01~EMPANANG~BAJAU ANDAI
