KUPANG~ALAK~1~KOE01~ALAK~ALAK
KUPANG~ALAK~2~KOE01~ALAK~NAMOSAIN
KUPANG~ALAK~3~KOE01~ALAK~NUNBAUN DELHA
KUPANG~ALAK~4~KOE01~ALAK~NUNBAUN SABU
KUPANG~ALAK~5~KOE01~ALAK~FATUFETO
KUPANG~ALAK~6~KOE01~ALAK~NUNHILA
KUPANG~ALAK~7~KOE01~ALAK~MANTASI
KUPANG~ALAK~8~KOE01~ALAK~MANUTAPEN
KUPANG~ALAK~9~KOE01~ALAK~BATUPLAT
KUPANG~ALAK~10~KOE01~ALAK~MANULAI II
KUPANG~ALAK~11~KOE01~ALAK~NAIONI
KUPANG~AMABI OEFETO~1~KOE01~AMABI OEFETO~FATUKANUTU
KUPANG~AMABI OEFETO~2~KOE01~AMABI OEFETO~FATUTETA
KUPANG~AMABI OEFETO~3~KOE01~AMABI OEFETO~KAIRANE
KUPANG~AMABI OEFETO~4~KOE01~AMABI OEFETO~KUANHEUM
KUPANG~AMABI OEFETO~5~KOE01~AMABI OEFETO~RAKNAMO
KUPANG~AMABI OEFETO~6~KOE01~AMABI OEFETO~NIUNBAUN
KUPANG~AMABI OEFETO~7~KOE01~AMABI OEFETO~OELETO OEFETO
KUPANG~AMABI OEFETO TIMUR~1~KOE01~AMABI OEFETO TIMUR~ENOLANAN
KUPANG~AMABI OEFETO TIMUR~2~KOE01~AMABI OEFETO TIMUR~MUKE
KUPANG~AMABI OEFETO TIMUR~3~KOE01~AMABI OEFETO TIMUR~NUNMAFO
KUPANG~AMABI OEFETO TIMUR~4~KOE01~AMABI OEFETO TIMUR~OEMOFA
KUPANG~AMABI OEFETO TIMUR~5~KOE01~AMABI OEFETO TIMUR~OEMOLO
KUPANG~AMABI OEFETO TIMUR~6~KOE01~AMABI OEFETO TIMUR~OENAUNU
KUPANG~AMABI OEFETO TIMUR~7~KOE01~AMABI OEFETO TIMUR~OENIKO
KUPANG~AMABI OEFETO TIMUR~8~KOE01~AMABI OEFETO TIMUR~OENUNTONO
KUPANG~AMABI OEFETO TIMUR~9~KOE01~AMABI OEFETO TIMUR~PATHAU
KUPANG~AMABI OEFETO TIMUR~10~KOE01~AMABI OEFETO TIMUR~SEKI
KUPANG~AMARASI~1~KOE01~AMARASI~APREN
KUPANG~AMARASI~2~KOE01~AMARASI~KOTABES
KUPANG~AMARASI~3~KOE01~AMARASI~NONBES
KUPANG~AMARASI~4~KOE01~AMARASI~OENONI
KUPANG~AMARASI~5~KOE01~AMARASI~OESENA
KUPANG~AMARASI~6~KOE01~AMARASI~PONAIN
KUPANG~AMARASI~7~KOE01~AMARASI~TESBATAN
KUPANG~AMARASI~8~KOE01~AMARASI~TESBATAN II
KUPANG~AMARASI BARAT~1~KOE01~AMARASI BARAT~ERBAUN
KUPANG~AMARASI BARAT~2~KOE01~AMARASI BARAT~MERBAUN
KUPANG~AMARASI BARAT~3~KOE01~AMARASI BARAT~NEKBAUN
KUPANG~AMARASI BARAT~4~KOE01~AMARASI BARAT~NIUKBAUN
KUPANG~AMARASI BARAT~5~KOE01~AMARASI BARAT~SOBA
KUPANG~AMARASI BARAT~6~KOE01~AMARASI BARAT~TEUNBAUN
KUPANG~AMARASI BARAT~7~KOE01~AMARASI BARAT~TOOBAUN
KUPANG~AMARASI BARAT~8~KOE01~AMARASI BARAT~TUNBAUN
KUPANG~AMARASI SELATAN~1~KOE01~AMARASI SELATAN~BURAEN
KUPANG~AMARASI SELATAN~2~KOE01~AMARASI SELATAN~NEKMESE
KUPANG~AMARASI SELATAN~3~KOE01~AMARASI SELATAN~RETRAEN
KUPANG~AMARASI SELATAN~4~KOE01~AMARASI SELATAN~SAHRAEN
KUPANG~AMARASI SELATAN~5~KOE01~AMARASI SELATAN~SONRAEN
KUPANG~AMARASI TIMUR~1~KOE01~AMARASI TIMUR~ENORAEN
KUPANG~AMARASI TIMUR~2~KOE01~AMARASI TIMUR~OEBESI
KUPANG~AMARASI TIMUR~3~KOE01~AMARASI TIMUR~PAKUBAUN
KUPANG~AMARASI TIMUR~4~KOE01~AMARASI TIMUR~RABEKA
KUPANG~AMFOANG BARAT DAYA~1~KOE01~AMFOANG BARAT DAYA~BIOBA BARU BARUTAEN
KUPANG~AMFOANG BARAT DAYA~2~KOE01~AMFOANG BARAT DAYA~LETKOLE
KUPANG~AMFOANG BARAT DAYA~3~KOE01~AMFOANG BARAT DAYA~MANUBELON
KUPANG~AMFOANG BARAT DAYA~4~KOE01~AMFOANG BARAT DAYA~NEFONEUT
KUPANG~AMFOANG BARAT LAUT~1~KOE01~AMFOANG BARAT LAUT~FAUMES
KUPANG~AMFOANG BARAT LAUT~2~KOE01~AMFOANG BARAT LAUT~HONUK
KUPANG~AMFOANG BARAT LAUT~3~KOE01~AMFOANG BARAT LAUT~OELFATU
KUPANG~AMFOANG BARAT LAUT~4~KOE01~AMFOANG BARAT LAUT~SAUKIBE
KUPANG~AMFOANG BARAT LAUT~5~KOE01~AMFOANG BARAT LAUT~SOLIU
KUPANG~AMFOANG BARAT LAUT~6~KOE01~AMFOANG BARAT LAUT~TIMAU
KUPANG~AMFOANG SELATAN~1~KOE01~AMFOANG SELATAN~BINAFUN
