MALAKA~BOTIN LEOBELE~1~BET01~BOTIN LEOBELE~BOTIN LEOBELE
MALAKA~KOBALIMA~1~BET01~KOBALIMA~KOBALIMA
MALAKA~KOBALIMA TIMUR~1~BET01~KOBALIMA TIMUR~KOBALIMA TIMUR
MALAKA~LAEN MANEN~1~BET01~LAEN MANEN~LAEN MANEN
MALAKA~LO KUFEU~1~BET01~LO KUFEU~LO KUFEU
MALAKA~MALAKA BARAT~1~BET01~MALAKA BARAT~MALAKA BARAT
MALAKA~MALAKA TENGAH~1~BET01~MALAKA TENGAH~MALAKA TENGAH
MALAKA~MALAKA TIMUR~1~BET01~MALAKA TIMUR~MALAKA TIMUR
MALAKA~RINHAT~1~BET01~RINHAT~RINHAT
MALAKA~SASITA MEAN~1~BET01~SASITA MEAN~SASITA MEAN
MALAKA~WELIMAN~1~BET01~WELIMAN~WELIMAN
MALAKA~WEWIKU~1~BET01~WEWIKU~WEWIKU
