PONTIANAK~PONTIANAK BARAT~1~PNK03~PONTIANAK BARAT~PALLIMA
PONTIANAK~PONTIANAK BARAT~2~PNK03~PONTIANAK BARAT~SUNGAI BELIUNG
PONTIANAK~PONTIANAK BARAT~3~PNK03~PONTIANAK BARAT~SUNGAI JAWI DALAM
PONTIANAK~PONTIANAK BARAT~4~PNK03~PONTIANAK BARAT~SUNGAI JAWI LUAR
PONTIANAK~PONTIANAK KOTA~1~PNK04~PONTIANAK KOTA~DARAT SEKIP
PONTIANAK~PONTIANAK KOTA~2~PNK04~PONTIANAK KOTA~MARIANA
PONTIANAK~PONTIANAK KOTA~3~PNK04~PONTIANAK KOTA~SUNGAI BANGKONG
PONTIANAK~PONTIANAK KOTA~4~PNK04~PONTIANAK KOTA~SUNGAI JAWI
PONTIANAK~PONTIANAK KOTA~5~PNK04~PONTIANAK KOTA~TENGAH
PONTIANAK~PONTIANAK SELATAN~1~PNK01~PONTIANAK SELATAN~AKCAYA
PONTIANAK~PONTIANAK SELATAN~2~PNK01~PONTIANAK SELATAN~BENUA MELAYU DARAT
PONTIANAK~PONTIANAK SELATAN~3~PNK01~PONTIANAK SELATAN~BENUA MELAYU LAUT
PONTIANAK~PONTIANAK SELATAN~4~PNK01~PONTIANAK SELATAN~KOTA BARU
PONTIANAK~PONTIANAK SELATAN~5~PNK01~PONTIANAK SELATAN~PARIT TOKAYA
PONTIANAK~PONTIANAK TENGGARA~1~PNK01~PONTIANAK TENGGARA~BANGKA BELITUNG DARAT
PONTIANAK~PONTIANAK TENGGARA~2~PNK01~PONTIANAK TENGGARA~BANGKA BELITUNG LAUT
PONTIANAK~PONTIANAK TENGGARA~3~PNK01~PONTIANAK TENGGARA~BANSIR DARAT
PONTIANAK~PONTIANAK TENGGARA~4~PNK01~PONTIANAK TENGGARA~BANSIR LAUT
PONTIANAK~PONTIANAK TIMUR~1~PNK05~PONTIANAK TIMUR~BANJAR SERASAN
PONTIANAK~PONTIANAK TIMUR~2~PNK05~PONTIANAK TIMUR~DALAM BUGIS
PONTIANAK~PONTIANAK TIMUR~3~PNK05~PONTIANAK TIMUR~PARIT MAYOR
PONTIANAK~PONTIANAK TIMUR~4~PNK05~PONTIANAK TIMUR~SAIGON
PONTIANAK~PONTIANAK TIMUR~5~PNK05~PONTIANAK TIMUR~TAMBELAN SAMPIT
PONTIANAK~PONTIANAK TIMUR~6~PNK05~PONTIANAK TIMUR~TANJUNG HILIR
PONTIANAK~PONTIANAK TIMUR~7~PNK05~PONTIANAK TIMUR~TANJUNG HULU
PONTIANAK~PONTIANAK UTARA~1~PNK02~PONTIANAK UTARA~SIANTAN HILIR
PONTIANAK~PONTIANAK UTARA~2~PNK02~PONTIANAK UTARA~SIANTAN HULU
PONTIANAK~PONTIANAK UTARA~3~PNK02~PONTIANAK UTARA~SIANTAN TENGAH
